"filename", "language", "C#", "HLSL", "JSON", "ShaderLab", "comment", "blank", "total"
"e:\Unity Projects\Craven2\Assets\AdjacentRoomChecker.cs", "C#", 14, 0, 0, 0, 0, 4, 18
"e:\Unity Projects\Craven2\Assets\AudioManager.cs", "C#", 45, 0, 0, 0, 3, 12, 60
"e:\Unity Projects\Craven2\Assets\Destroyer.cs", "C#", 40, 0, 0, 0, 2, 9, 51
"e:\Unity Projects\Craven2\Assets\DoorController.cs", "C#", 124, 0, 0, 0, 12, 26, 162
"e:\Unity Projects\Craven2\Assets\EmptyRoomDetector.cs", "C#", 21, 0, 0, 0, 1, 6, 28
"e:\Unity Projects\Craven2\Assets\ExitTile.cs", "C#", 41, 0, 0, 0, 2, 5, 48
"e:\Unity Projects\Craven2\Assets\FloorTile.cs", "C#", 25, 0, 0, 0, 0, 10, 35
"e:\Unity Projects\Craven2\Assets\HUDUpdater.cs", "C#", 75, 0, 0, 0, 2, 23, 100
"e:\Unity Projects\Craven2\Assets\InvisibleTrigger.cs", "C#", 25, 0, 0, 0, 0, 7, 32
"e:\Unity Projects\Craven2\Assets\KeyCardReader.cs", "C#", 28, 0, 0, 0, 0, 7, 35
"e:\Unity Projects\Craven2\Assets\LabExit.cs", "C#", 16, 0, 0, 0, 0, 4, 20
"e:\Unity Projects\Craven2\Assets\MainMenu.cs", "C#", 22, 0, 0, 0, 0, 6, 28
"e:\Unity Projects\Craven2\Assets\RoomChecker.cs", "C#", 72, 0, 0, 0, 1, 19, 92
"e:\Unity Projects\Craven2\Assets\RoomFog.cs", "C#", 13, 0, 0, 0, 0, 3, 16
"e:\Unity Projects\Craven2\Assets\RoomLoadTrigger.cs", "C#", 53, 0, 0, 0, 1, 8, 62
"e:\Unity Projects\Craven2\Assets\RoomSpawner.cs", "C#", 262, 0, 0, 0, 155, 95, 512
"e:\Unity Projects\Craven2\Assets\RoomSprites.cs", "C#", 67, 0, 0, 0, 17, 24, 108
"e:\Unity Projects\Craven2\Assets\RoomTemplates.cs", "C#", 74, 0, 0, 0, 2, 22, 98
"e:\Unity Projects\Craven2\Assets\Scripts\Enemies\AIMovement.cs", "C#", 189, 0, 0, 0, 8, 40, 237
"e:\Unity Projects\Craven2\Assets\Scripts\Enemies\EnemySpawner.cs", "C#", 20, 0, 0, 0, 1, 6, 27
"e:\Unity Projects\Craven2\Assets\Scripts\Enemies\GhostBoss\BossBolt.cs", "C#", 129, 0, 0, 0, 8, 41, 178
"e:\Unity Projects\Craven2\Assets\Scripts\Enemies\GhostBoss\GhostBoss.cs", "C#", 34, 0, 0, 0, 1, 11, 46
"e:\Unity Projects\Craven2\Assets\Scripts\Enemies\GhostBoss\GhostBossAttacks.cs", "C#", 76, 0, 0, 0, 1, 17, 94
"e:\Unity Projects\Craven2\Assets\Scripts\Enemies\Ghost\GhostAttacks.cs", "C#", 56, 0, 0, 0, 2, 19, 77
"e:\Unity Projects\Craven2\Assets\Scripts\Enemies\Ghost\GhostBolt.cs", "C#", 103, 0, 0, 0, 9, 34, 146
"e:\Unity Projects\Craven2\Assets\Scripts\Enemies\Ghost\GhostProjectileSensor.cs", "C#", 46, 0, 0, 0, 3, 11, 60
"e:\Unity Projects\Craven2\Assets\Scripts\Enemies\Worm\WormAttacks.cs", "C#", 111, 0, 0, 0, 7, 23, 141
"e:\Unity Projects\Craven2\Assets\Scripts\Enviroment\Barrier.cs", "C#", 101, 0, 0, 0, 7, 20, 128
"e:\Unity Projects\Craven2\Assets\Scripts\Enviroment\Door.cs", "C#", 33, 0, 0, 0, 0, 14, 47
"e:\Unity Projects\Craven2\Assets\Scripts\Enviroment\FlameBowl.cs", "C#", 29, 0, 0, 0, 0, 5, 34
"e:\Unity Projects\Craven2\Assets\Scripts\Enviroment\Rune.cs", "C#", 44, 0, 0, 0, 0, 9, 53
"e:\Unity Projects\Craven2\Assets\Scripts\FloatingTexthandler.cs", "C#", 8, 0, 0, 0, 2, 4, 14
"e:\Unity Projects\Craven2\Assets\Scripts\GameAssets.cs", "C#", 12, 0, 0, 0, 0, 6, 18
"e:\Unity Projects\Craven2\Assets\Scripts\General Scripts\FollowPlayer.cs", "C#", 35, 0, 0, 0, 4, 6, 45
"e:\Unity Projects\Craven2\Assets\Scripts\General Scripts\GameManager.cs", "C#", 181, 0, 0, 0, 5, 51, 237
"e:\Unity Projects\Craven2\Assets\Scripts\General Scripts\Health.cs", "C#", 314, 0, 0, 0, 37, 68, 419
"e:\Unity Projects\Craven2\Assets\Scripts\General Scripts\HealthBar.cs", "C#", 18, 0, 0, 0, 1, 6, 25
