Date : 2021-08-28 22:41:58
Directory : e:\Unity Projects\Craven2\Assets
Total : 129 files,  10693 codes, 1323 comments, 3226 blanks, all 15242 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| C#        |        111 |      8,204 |      1,241 |      2,578 |     12,023 |
| ShaderLab |         13 |      2,011 |         61 |        559 |      2,631 |
| HLSL      |          4 |        323 |         21 |         87 |        431 |
| JSON      |          1 |        155 |          0 |          2 |        157 |
+-----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        129 |     10,693 |      1,323 |      3,226 |     15,242 |
| Scripts                                                                                             |         56 |      3,975 |        278 |      1,024 |      5,277 |
| Scripts\Enemies                                                                                     |          9 |        764 |         40 |        202 |      1,006 |
| Scripts\Enemies\Ghost                                                                               |          3 |        205 |         14 |         64 |        283 |
| Scripts\Enemies\GhostBoss                                                                           |          3 |        239 |         10 |         69 |        318 |
| Scripts\Enemies\Worm                                                                                |          1 |        111 |          7 |         23 |        141 |
| Scripts\Enviroment                                                                                  |          4 |        207 |          7 |         48 |        262 |
| Scripts\General Scripts                                                                             |          7 |        761 |         54 |        179 |        994 |
| Scripts\HostClasses                                                                                 |          3 |        518 |         30 |        133 |        681 |
| Scripts\Interfaces                                                                                  |          1 |          8 |          0 |          3 |         11 |
| Scripts\Items                                                                                       |         16 |        743 |         37 |        194 |        974 |
| Scripts\OldScripts                                                                                  |          3 |        281 |          5 |         89 |        375 |
| Scripts\Player                                                                                      |          4 |        292 |         90 |         89 |        471 |
| Scripts\Rooms                                                                                       |          1 |        234 |          6 |         32 |        272 |
| Scripts\Sounds                                                                                      |          1 |         15 |          0 |          5 |         20 |
| Scripts\UI                                                                                          |          4 |        117 |          7 |         36 |        160 |
| TextMesh Pro                                                                                        |         52 |      5,471 |        842 |      1,844 |      8,157 |
| TextMesh Pro\Examples & Extras                                                                      |         34 |      2,982 |        760 |      1,196 |      4,938 |
| TextMesh Pro\Examples & Extras\Scripts                                                              |         34 |      2,982 |        760 |      1,196 |      4,938 |
| TextMesh Pro\Shaders                                                                                |         17 |      2,334 |         82 |        646 |      3,062 |
| TextMesh Pro\Sprites                                                                                |          1 |        155 |          0 |          2 |        157 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| filename                                                                                            | language  | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| e:\Unity Projects\Craven2\Assets\AdjacentRoomChecker.cs                                             | C#        |         14 |          0 |          4 |         18 |
| e:\Unity Projects\Craven2\Assets\AudioManager.cs                                                    | C#        |         45 |          3 |         12 |         60 |
| e:\Unity Projects\Craven2\Assets\Destroyer.cs                                                       | C#        |         40 |          2 |          9 |         51 |
| e:\Unity Projects\Craven2\Assets\DoorController.cs                                                  | C#        |        124 |         12 |         26 |        162 |
| e:\Unity Projects\Craven2\Assets\EmptyRoomDetector.cs                                               | C#        |         21 |          1 |          6 |         28 |
| e:\Unity Projects\Craven2\Assets\ExitTile.cs                                                        | C#        |         41 |          2 |          5 |         48 |
| e:\Unity Projects\Craven2\Assets\FloorTile.cs                                                       | C#        |         25 |          0 |         10 |         35 |
| e:\Unity Projects\Craven2\Assets\HUDUpdater.cs                                                      | C#        |         75 |          2 |         23 |        100 |
